Order_ID,Order_date,Customer_ID,Cuisine,Restaurant_ID,Rating,,,
00001,1/1/2020,C000485,Chinese,RT02,1.6,,,
00002,1/2/2020,C000762,Mexican,RT07,2.4,,,
00003,1/2/2020,C001030,Mexican,RT07,2.1,,,
00004,1/2/2020,C001108,Mediterranean,RT03,2.8,,,
00005,1/2/2020,C000364,Chinese,RT02,3.9,,,
00006,1/2/2020,C001157,Thai,RT04,2.3,,,
00007,1/2/2020,C000416,Thai,RT04,4.7,,,
00008,1/2/2020,C000932,Chinese,RT13,3,,,
00009,1/2/2020,C001156,Mexican,RT07,3.5,,,
00010,1/2/2020,C000359,Mediterranean,RT08,4.9,,,
00011,1/2/2020,C000305,Thai,RT04,4.1,,,
00012,1/2/2020,C000280,Thai,RT04,1.7,,,
00013,1/2/2020,C001021,Thai,RT04,4.1,,,
00014,1/2/2020,C000440,Mexican,RT07,2.2,,,
00015,1/2/2020,C000194,Seafood,RT15,4.3,,,
00016,1/2/2020,C000858,Italian,RT06,4,,,
00017,1/2/2020,C001165,Indian,RT01,4.4,,,
00018,1/2/2020,C001143,Thai,RT04,3.6,,,
00019,1/3/2020,C000744,Seafood,RT15,4.5,,,
00020,1/3/2020,C001122,Thai,RT04,2.2,,,
00021,1/3/2020,C000006,Mediterranean,RT08,4,,,
00022,1/3/2020,C000406,Mediterranean,RT03,3.7,,,
00023,1/3/2020,C000309,Mexican,RT07,4.8,,,
00024,1/3/2020,C000849,Chinese,RT13,1.7,,,
00025,1/3/2020,C001079,Mediterranean,RT08,2.3,,,
00026,1/3/2020,C000981,Thai,RT04,2.6,,,
00027,1/3/2020,C000094,Chinese,RT13,3.8,,,
00028,1/3/2020,C001047,Seafood,RT15,2.3,,,
00029,1/3/2020,C000890,Italian,RT06,2.7,,,
00030,1/3/2020,C000768,American (BBQ),RT05,2.4,,,
00031,1/3/2020,C000334,Seafood,RT15,1.1,,,
00032,1/3/2020,C000632,Mediterranean,RT08,2.4,,,
00033,1/3/2020,C000155,Indian,RT01,2.7,,,
00034,1/3/2020,C000472,American (BBQ),RT05,4.8,,,
00035,1/3/2020,C000896,Chinese,RT02,1.7,,,
00036,1/3/2020,C000509,Thai,RT04,2.3,,,
00037,1/4/2020,C000385,Seafood,RT15,4.3,,,
00038,1/4/2020,C000675,American (BBQ),RT09,3.7,,,
